Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"if (cat == ""ฉันมีแมว"")",Chrome 88.0.4324.182,,,2021-02-24 14:11:50,2021-02-24 14:11:50,0.001s,PASSED
"if (dog == ""ฉันมีสุนัข"")",Chrome 88.0.4324.182,,,2021-02-24 14:11:50,2021-02-24 14:11:50,0.001s,PASSED
if (v1 + v2 + v3 + v4 + v5 + v6 + v7 + v8 == 8),Chrome 88.0.4324.182,,,2021-02-24 14:11:50,2021-02-24 14:11:51,0.667s,PASSED
,,,,,,,
Test Cases/Special Case/27_Coupon,Chrome 88.0.4324.182,,,2021-02-24 14:11:51,2021-02-24 14:12:48,57.569s,PASSED
"openBrowser("""")",Chrome 88.0.4324.182,,,2021-02-24 14:11:51,2021-02-24 14:11:52,1.105s,PASSED
"navigateToUrl(""https://uat.bluuu.co/"")",Chrome 88.0.4324.182,,,2021-02-24 14:11:52,2021-02-24 14:11:58,5.438s,PASSED
maximizeWindow(),Chrome 88.0.4324.182,,,2021-02-24 14:11:58,2021-02-24 14:11:58,0.130s,PASSED
"click(findTestObject(""Object Repository/P_USE/27/Page_Bluuu -/a_""))",Chrome 88.0.4324.182,,,2021-02-24 14:11:58,2021-02-24 14:11:59,0.597s,PASSED
"click(findTestObject(""Object Repository/P_USE/27/Page_Bluuu/svg__vc-svg-icon""))",Chrome 88.0.4324.182,,,2021-02-24 14:11:59,2021-02-24 14:12:00,1.219s,PASSED
"click(findTestObject(""Object Repository/P_USE/27/Page_Bluuu/span_31""))",Chrome 88.0.4324.182,,,2021-02-24 14:12:00,2021-02-24 14:12:03,3.086s,PASSED
"click(findTestObject(""Object Repository/P_USE/27/Page_Bluuu/div__arrow-down""))",Chrome 88.0.4324.182,,,2021-02-24 14:12:03,2021-02-24 14:12:06,2.958s,PASSED
"click(findTestObject(""Object Repository/P_USE/27/Page_Bluuu/li_0600""))",Chrome 88.0.4324.182,,,2021-02-24 14:12:06,2021-02-24 14:12:09,3.318s,PASSED
"setText(findTestObject(""Object Repository/P_USE/27/Page_Bluuu/input____BVID__185""), ""to"")",Chrome 88.0.4324.182,,,2021-02-24 14:12:09,2021-02-24 14:12:16,6.448s,PASSED
delay(2.5),Chrome 88.0.4324.182,,,2021-02-24 14:12:16,2021-02-24 14:12:18,2.504s,PASSED
"click(findTestObject(""Object Repository/P_USE/27/Page_Bluuu/div_Town in Town Village""))",Chrome 88.0.4324.182,,,2021-02-24 14:12:18,2021-02-24 14:12:21,3.144s,PASSED
"click(findTestObject(""Object Repository/P_USE/27/Page_Bluuu/div_ 1 _arrow-down""))",Chrome 88.0.4324.182,,,2021-02-24 14:12:21,2021-02-24 14:12:24,2.941s,PASSED
"click(findTestObject(""Object Repository/P_USE/27/Page_Bluuu/li_ 1""))",Chrome 88.0.4324.182,,,2021-02-24 14:12:24,2021-02-24 14:12:27,3.088s,PASSED
